state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL
RI,2020-03-14,124.72,109.49242711394886,139.94757288605115,0.5,0.4369301984507491,0.5630698015492509
RI,2020-03-15,124.72,109.49242711394886,139.94757288605115,0.5,0.4369301984507491,0.5630698015492509
RI,2020-03-16,124.72,109.49242711394886,139.94757288605115,0.5,0.4369301984507491,0.5630698015492509
RI,2020-03-17,93.53999999999999,78.79596595229107,108.28403404770893,0.375,0.3139329272377861,0.4360670727622139
RI,2020-03-18,62.36,49.17253504270059,75.54746495729943,0.25,0.19537994964670555,0.3046200503532945
RI,2020-03-19,62.36,49.17253504270059,75.54746495729943,0.25,0.19537994964670555,0.3046200503532945
RI,2020-03-20,31.18,21.107907268099645,41.252092731900355,0.125,0.08328324746562146,0.16671675253437854
RI,2020-03-21,31.18,21.107907268099645,41.252092731900355,0.125,0.08328324746562146,0.16671675253437854
RI,2020-03-22,124.72,109.49242711394886,139.94757288605115,0.5,0.4369301984507491,0.5630698015492509
RI,2020-03-23,31.18,21.107907268099645,41.252092731900355,0.125,0.08328324746562146,0.16671675253437854
RI,2020-03-24,62.36,49.17253504270059,75.54746495729943,0.25,0.19537994964670555,0.3046200503532945
RI,2020-03-25,31.18,21.107907268099645,41.252092731900355,0.125,0.08328324746562146,0.16671675253437854
RI,2020-03-26,31.18,21.107907268099645,41.252092731900355,0.125,0.08328324746562146,0.16671675253437854
RI,2020-03-27,62.36,49.17253504270059,75.54746495729943,0.25,0.19537994964670555,0.3046200503532945
RI,2020-03-28,62.36,49.17253504270059,75.54746495729943,0.25,0.19537994964670555,0.3046200503532945
RI,2020-03-29,152.69127040454225,142.38937828446737,162.9931625246171,0.6699029126213593,0.5874418924529449,0.7523639327897736
RI,2020-03-30,154.90418736692692,144.8986415226412,164.9097332112126,0.693069306930693,0.6113944574466074,0.7747441564147787
RI,2020-03-31,132.7750177430802,122.44830191401329,143.1017335721471,0.6185567010309279,0.5307840082332148,0.7063293938286409
RI,2020-04-01,132.7750177430802,122.28051325609358,143.26952223006685,0.6060606060606061,0.5186637774931045,0.6934574346281076
RI,2020-04-02,152.69127040454225,142.5984986059841,162.7840422031004,0.6831683168316832,0.6007814455551655,0.7655551881082009
RI,2020-04-03,128.6333527019175,119.84774993891662,137.41895546491833,0.6513761467889908,0.5520806554338294,0.7506716381441522
RI,2020-04-04,128.6333527019175,119.12510623755622,138.14159916627875,0.5916666666666667,0.49405456832995864,0.6892787650033747
RI,2020-04-05,132.25682742591516,123.35357756714748,141.16007728468284,0.6517857142857143,0.5538558837372228,0.7497155448342058
RI,2020-04-06,137.69203951191167,128.370098496439,147.01398052738438,0.6333333333333333,0.5376338553589328,0.7290328113077338
RI,2020-04-07,144.93898895990702,135.81996817935575,154.05800974045832,0.6666666666666666,0.5730503772170796,0.7602829561162536
RI,2020-04-08,143.12725159790818,133.95283007242065,152.30167312339574,0.6583333333333333,0.5641482972717486,0.752518369394918
RI,2020-04-09,141.31551423590935,132.8118398720934,149.8191885997253,0.7027027027027027,0.6083252814581617,0.7970801239472438
RI,2020-04-10,128.6333527019175,119.12510623755622,138.14159916627875,0.5916666666666667,0.49405456832995864,0.6892787650033747
RI,2020-04-11,140.9096153846154,133.38886886074894,148.43036190848184,0.6861313868613139,0.5761279216795198,0.7961348520431081
RI,2020-04-12,127.41826923076924,119.64952789897413,135.18701056256435,0.6296296296296297,0.51431540733509,0.7449438519241693
RI,2020-04-13,133.41442307692307,125.29681468495781,141.53203146888836,0.6137931034482759,0.5016103550907729,0.7259758518057788
RI,2020-04-14,139.1457194899818,131.6520680613221,146.6393709186415,0.6447368421052632,0.5273143442649224,0.7621593399456039
RI,2020-04-15,149.08469945355193,141.7439957780136,156.42540312909023,0.6818181818181818,0.5682861560731743,0.7953502075631892
RI,2020-04-16,224.3165467625899,216.76207320630152,231.87102031887832,0.7264957264957265,0.6254529857162535,0.8275384672751994
RI,2020-04-17,205.84341938214132,197.85429177231154,213.83254699197113,0.6666666666666666,0.5598103325860202,0.7735230007473131
RI,2020-04-18,201.20605251446375,192.4440908601397,209.96801416878782,0.6444444444444445,0.5439819985341696,0.7449068903547194
RI,2020-04-19,202.59368046283936,193.8566806354342,211.33068029024452,0.6488888888888888,0.5487126490002329,0.7490651287775448
RI,2020-04-20,216.3994921709691,208.63951038881814,224.15947395312003,0.7008547008547008,0.5970632424790699,0.8046461592303317
RI,2020-04-21,219.69647696476963,212.3527024776677,227.0402514518716,0.6275862068965518,0.5053240766987795,0.749848337094324
RI,2020-04-22,274.0170344560588,266.458992550034,281.5750763620837,0.6837349397590361,0.5738237684761729,0.7936461110418993
RI,2020-04-23,275.2241579558653,269.9657536954882,280.48256221624234,0.8475836431226765,0.7532053072678045,0.9419619789775485
RI,2020-04-24,277.6384049554781,271.92176732488986,283.3550425860664,0.8214285714285714,0.7228566421908575,0.9200005006662852
RI,2020-04-25,271.602787456446,266.2432310115742,276.9623439013177,0.8395522388059702,0.7429994818168244,0.936104995795116
RI,2020-04-26,267.9814169570267,261.43893383882306,274.52390007523036,0.757679180887372,0.6498725151075242,0.8654858466672197
RI,2020-04-27,276.4312814556717,270.12251170661244,282.7400512047309,0.7815699658703071,0.677614415732704,0.8855255160079103
RI,2020-04-28,207.66456003889158,198.5194439375002,216.809676140283,0.6919191919191919,0.6023738619914408,0.781464521846943
RI,2020-04-29,302.38155802861684,291.7086852850207,313.054430772213,0.8356164383561644,0.7861744221849907,0.8850584545273381
RI,2020-04-30,142.15097159940208,133.21574327822964,151.08619992057453,0.7439024390243902,0.6619941388481179,0.8258107392006626
RI,2020-05-01,313.8502781992919,306.59005855570666,321.11049784287707,0.8805309734513275,0.8248685199469182,0.9361934269557367
RI,2020-05-02,301.7808749516067,295.2213865655789,308.34036333763447,0.7836990595611285,0.6844217707139142,0.8829763484083428
RI,2020-05-03,302.9879984514131,296.4256818957115,309.5503150071147,0.784375,0.6853652823400858,0.8833847176599143
RI,2020-05-04,289.70963995354236,282.76793144099514,296.65134846608964,0.7476635514018691,0.6432559869105918,0.8520711158931464
RI,2020-05-05,301.7808749516066,295.14776155627965,308.41398834693365,0.778816199376947,0.6790500952040665,0.8785823035498276
RI,2020-05-06,337.8767985611511,329.1502905626611,346.6033065596411,0.7953795379537953,0.7237330136788647,0.867026062228726
RI,2020-05-07,304.1951219512195,297.7440863675909,310.6461575348481,0.7924528301886793,0.6945099340944414,0.8903957262829172
RI,2020-05-08,326.66097122302165,317.8019866359671,335.5199558100761,0.7818791946308725,0.7079246365718918,0.8558337526898533
RI,2020-05-09,281.2597754548974,274.44085182289183,288.078699086903,0.7491961414790996,0.6433375620310098,0.8550547209271895
RI,2020-05-10,271.602787456446,264.56670290850155,278.6388720043904,0.7234726688102894,0.6142428320621424,0.8327025055584364
RI,2020-05-11,277.6384049554781,270.6721148762227,284.60469503473354,0.7348242811501597,0.6273689810712325,0.842279581229087
RI,2020-05-12,301.7808749516067,295.1843563042001,308.3773935990132,0.78125,0.681724254285916,0.880775745714084
RI,2020-05-13,312.6790173177608,305.977111172476,319.38092346304563,0.8163934426229508,0.7304720126049196,0.902314872640982
RI,2020-05-14,309.0236159504452,302.9770685964787,315.0701633044117,0.8205128205128205,0.7269456517176164,0.9140799893080246
RI,2020-05-15,300.57375145180026,294.32987209052965,306.8176308130709,0.8032258064516129,0.7059816678314018,0.900469945071824
RI,2020-05-16,170.07272727272726,164.52768401870344,175.61777052675112,0.9473684210526315,0.9128244303815626,0.9819124117237005
RI,2020-05-17,288.50251645373595,281.62914689075416,295.3758860167177,0.7515723270440252,0.6472173421431734,0.855927311944877
RI,2020-05-18,286.0882694541231,279.389722628178,292.78681628006825,0.7620578778135049,0.6580680563066609,0.8660476993203489
RI,2020-05-19,170.0727272727273,160.93721892741488,179.2082356180397,0.8571428571428571,0.8056514696667162,0.908634244618998
RI,2020-05-20,299.3666279519938,293.04415936987766,305.6890965341099,0.797427652733119,0.6992761586224364,0.8955791468438016
RI,2020-05-21,170.07272727272726,162.42941261813593,177.71604192731863,0.9,0.8547651751073324,0.9452348248926676
RI,2020-05-22,304.1951219512195,298.201585006837,310.18865889560203,0.8208469055374593,0.7265895100164992,0.9151043010584194
RI,2020-05-23,275.2241579558653,268.6607142758113,281.78760163591926,0.7625418060200669,0.6565600285963842,0.8685235834437497
RI,2020-05-24,277.6384049554781,270.7661569506971,284.51065296025916,0.7419354838709677,0.6349049346014509,0.8489660331404846
RI,2020-05-25,175.5165562913907,167.25696363641845,183.77614894636298,0.5506072874493927,0.4355215529117905,0.6656930219869949
RI,2020-05-26,298.1595044521874,291.42845812615604,304.8905507782187,0.7694704049844237,0.6682313293147063,0.870709480654141
RI,2020-05-27,294.4154676258993,284.8309044868739,304.00003076492465,0.7167235494880546,0.6353464949447114,0.7981006040313978
RI,2020-05-28,315.4451438848921,306.0787536774633,324.8115340923209,0.7475083056478405,0.6700972454929442,0.8249193658027368
RI,2020-05-29,315.4451438848921,306.46528846162437,324.42499930815984,0.7679180887372014,0.6916752622284803,0.8441609152459224
RI,2020-05-30,280.052651955091,273.2048987027112,286.9004052074707,0.7459807073954984,0.6396745701181181,0.8522868446728786
RI,2020-05-31,303.4249229414355,295.14882332255064,311.7010225603203,0.7836879432624113,0.7049996138457492,0.8623762726790735
RI,2020-06-01,219.79095770539618,210.3108917533616,229.2710236574308,0.6872037914691943,0.6000978435646638,0.7743097393737248
RI,2020-06-02,281.2597754548974,274.7152761555141,287.8042747542807,0.768976897689769,0.6646960816118749,0.873257713767663
RI,2020-06-03,277.6384049554781,271.48505941503737,283.79175049591885,0.7931034482758621,0.6906600610315283,0.8955468355201959
RI,2020-06-04,113.38181818181819,102.6790368950345,124.08459946860188,0.7058823529411765,0.6313630301156508,0.7804016757667023
RI,2020-06-05,269.1885404568331,262.93666311299785,275.44041780066834,0.7797202797202797,0.6741807778633653,0.8852597815771941
RI,2020-06-06,259.5315524583817,253.54408777112405,265.51901714563934,0.7904411764705882,0.6841628553656781,0.8967194975754983
RI,2020-06-07,266.77429345722027,260.4903183917465,273.05826852269405,0.775438596491228,0.6689850297155676,0.8818921632668885
RI,2020-06-08,234.18195896244674,228.03053957176365,240.33337835312986,0.754863813229572,0.6393024016427181,0.8704252248164258
RI,2020-06-09,103.93333333333332,94.17611114211061,113.69055552455603,0.7333333333333333,0.6563394709922645,0.810327195674402
RI,2020-06-10,264.3600464576074,258.5330292649143,270.1870636503005,0.8051470588235294,0.7017167027987479,0.908577414848311
RI,2020-06-11,260.73867595818814,254.8326638341071,266.64468808226917,0.7970479704797048,0.6918286076731986,0.9022673332862109
RI,2020-06-12,184.55049668874173,177.8483850690306,191.25260830845286,0.7185929648241206,0.6026836341735594,0.8345022954746818
RI,2020-06-13,122.83030303030303,112.8665558953293,132.79405016527676,0.7647058823529411,0.6953321682306243,0.834079596475258
RI,2020-06-14,270.49936521371137,262.4539354056643,278.54479502175843,0.7427536231884058,0.6515195765600575,0.833987669816754
RI,2020-06-15,281.0554380025391,273.33035380204007,288.78052220303823,0.7717391304347826,0.6841377581064434,0.8593405027631218
RI,2020-06-16,113.38181818181818,104.55607863515952,122.20755772847683,0.8,0.7303564311239275,0.8696435688760726
RI,2020-06-17,213.7277588721439,204.8733518302144,222.5821659140734,0.7193877551020408,0.6318042504892909,0.8069712597147907
RI,2020-06-18,272.80991095625245,267.0102280064908,278.609593906014,0.8129496402877698,0.7122263090214871,0.9136729715540526
RI,2020-06-19,263.15292295780097,258.5058426316465,267.8000032839555,0.8755020080321285,0.7853964757538033,0.9656075403104537
RI,2020-06-20,113.38181818181818,104.55607863515952,122.20755772847683,0.8,0.7303564311239275,0.8696435688760726
RI,2020-06-21,252.7548172757475,244.71849850725422,260.7911360442408,0.8714285714285714,0.8178697203676274,0.9249874224895155
RI,2020-06-22,231.82824207492797,224.70695948834202,238.94952466151392,0.8716216216216216,0.8112582063682231,0.9319850368750201
RI,2020-06-23,265.56716995741385,260.9839286575248,270.15041125730284,0.88,0.7914877586720503,0.9685122413279497
RI,2020-06-24,260.73867595818814,255.10135531116865,266.37599660520766,0.8150943396226416,0.7123879440574756,0.9178007351878075
RI,2020-06-25,282.4668989547038,278.4668063490685,286.4669915603392,0.9140625,0.8386226693899235,0.9895023306100765
RI,2020-06-26,260.73867595818814,256.09427180078666,265.3830801155897,0.8744939271255061,0.7837111056902032,0.965276748560809
RI,2020-06-27,264.36004645760744,259.915541901438,268.80455101377686,0.8866396761133604,0.7997642342231215,0.9735151180035992
RI,2020-06-28,108.40424278137888,101.88862110387419,114.91986445888361,0.7763157894736842,0.673932275392371,0.8786993035549974
RI,2020-06-29,269.1885404568331,265.19689932617155,273.1801815874947,0.9102040816326531,0.8315437036772929,0.9888644595880133
RI,2020-06-30,119.42840306423099,113.72000660717838,125.1367995212836,0.8441558441558441,0.7556216238096612,0.932690064502027
RI,2020-07-01,169.06374172185429,164.22291524351635,173.90456820019222,0.8397435897435898,0.7329476516576776,0.9465395278295019
RI,2020-07-02,225.82081545064375,219.25988838592968,232.38174251535787,0.8766233766233766,0.8132958012353867,0.9399509520113666
RI,2020-07-03,246.53953488372093,237.63116519371022,255.44790457373162,0.8380281690140845,0.7794936546219271,0.8965626834062419
RI,2020-07-04,113.38181818181818,104.55607863515952,122.20755772847683,0.8,0.7303564311239275,0.8696435688760726
RI,2020-07-05,207.42060085836908,200.339545676458,214.5016560402802,0.8435374149659864,0.7719347781841925,0.9151400517477803
RI,2020-07-06,99.21744254566882,93.23720231100953,105.19768278032811,0.7941176470588235,0.6890914881999334,0.8991438059177136
RI,2020-07-07,204.07510729613733,196.75237533098414,211.39783926129053,0.8299319727891157,0.7558855342737496,0.9039784113044818
RI,2020-07-08,104.72952268709486,99.08254990276944,110.37649547142027,0.8260869565217391,0.7283509998572119,0.9238229131862664
RI,2020-07-09,102.89216263995286,97.4538378156034,108.33048746430228,0.835820895522388,0.7388864555450649,0.9327553354997111
RI,2020-07-10,95.54272245138479,89.58601994182344,101.49942496094614,0.7878787878787878,0.680095918807438,0.8956616569501377
RI,2020-07-11,93.70536240424278,87.44614743821401,99.96457737027154,0.7611940298507462,0.6496277815985082,0.8727602781029843
RI,2020-07-12,219.12982832618025,212.58122469820012,225.67843195416043,0.8733333333333333,0.8084391432081073,0.9382275234585593
RI,2020-07-13,161.32036423841058,155.3966025507646,167.24412592605654,0.7485029940119761,0.626424004662874,0.8705819833610782
RI,2020-07-14,178.09768211920527,173.3205877655656,182.87477647284496,0.8518518518518519,0.7503652706693972,0.9533384330343065
SC,2020-03-14,,,,,,
SC,2020-03-30,442.1379310344828,408.12263824164245,476.1532238273231,0.30303030303030304,0.2791775843902067,0.3268830216703994
SC,2020-03-31,685.7795786061588,648.3052928045973,723.2538644077204,0.44,0.4147408064022248,0.4652591935977752
SC,2020-04-01,664.3523316062177,630.8100214912954,697.8946417211399,0.5072463768115942,0.4786198965726679,0.5358728570505206
SC,2020-04-02,854.2524023062139,822.1293904337784,886.3754141786493,0.6419753086419753,0.6144883183998572,0.6694622988840934
SC,2020-04-03,736.8965517241379,703.00731127096,770.7857921773157,0.5414012738853503,0.5132561979467962,0.5695463498239044
SC,2020-04-04,822.0599500416321,787.3447338778687,856.7751662053954,0.5789473684210527,0.551971977996355,0.6059227588457503
SC,2020-04-05,758.0033305578685,722.927697597207,793.07896351853,0.5338345864661654,0.5065791348784872,0.5610900380538437
SC,2020-04-06,892.7127385250128,858.5904334661942,926.8350435838314,0.6,0.5729800200071266,0.6270199799928734
SC,2020-04-07,899.32542547705,865.2677753361737,933.3830756179262,0.6044444444444445,0.5774756618893242,0.6314132269995647
SC,2020-04-08,779.1742627345844,746.2765541141817,812.0719713549871,0.5619834710743802,0.5332385887740808,0.5907283533746795
SC,2020-04-09,770.4858667720894,742.6011566438212,798.3705769003575,0.5661080074487895,0.5322682733573099,0.5999477415402692
SC,2020-04-10,830.1547799696509,806.7787920143958,853.5307679249063,0.5529157667386609,0.5122910358929179,0.593540497584404
SC,2020-04-11,798.9487254614709,782.5411967860161,815.3562541369256,0.5646017699115045,0.5070448075716374,0.6221587322513715
SC,2020-04-12,765.734123130705,749.4377276059365,782.0305186554735,0.5413732394366197,0.48284347687758555,0.5999030019956539
SC,2020-04-13,758.4415798134943,744.5571066699365,772.326052957052,0.5497026338147833,0.4812153468531521,0.6181899207764147
SC,2020-04-14,765.7081690140844,751.174404285426,780.241933742743,0.5760869565217391,0.5115365711992332,0.640637341844245
SC,2020-04-15,803.6811151079137,791.0701269669321,816.2921032488953,0.6119402985074627,0.5396016110119296,0.6842789860029957
SC,2020-04-16,827.8484569708121,818.0905362874101,837.6063776542142,0.5561959654178674,0.4590166267333229,0.653375304102412
SC,2020-04-17,932.9850551245406,925.361110458243,940.6089997908382,0.6396267049533381,0.5234787425132424,0.7557746673934337
SC,2020-04-18,852.3567170273581,844.6569335786182,860.056500476098,0.5976505139500734,0.4776772760902892,0.7176237518098576
SC,2020-04-19,838.7441404654961,831.0039068712837,846.4843740597084,0.5868131868131868,0.46647474259161587,0.7071516310347579
SC,2020-04-20,845.0268681094324,837.242609926623,852.8111262922417,0.5852066715010877,0.4654124300148411,0.7050009129873344
SC,2020-04-21,884.8174765210289,877.130035732572,892.5049173094858,0.6136528685548294,0.4951767494268242,0.7321289876828345
SC,2020-04-22,897.3829318089016,889.7751889522448,904.9906746655585,0.6269202633504023,0.5088147187166638,0.7450258079841408
SC,2020-04-23,905.7599020008166,898.1578791980909,913.3619248035425,0.6309263311451495,0.5132539099477319,0.7485987523425671
SC,2020-04-24,862.8279297672518,855.1433896212418,870.5124699132618,0.6041055718475073,0.4845454112332817,0.723665732461733
SC,2020-04-25,859.6592543053001,850.2393840686719,869.0791245419282,0.5994020926756353,0.5014769633863926,0.697327221964878
SC,2020-04-26,867.1625146296606,857.7851803972889,876.5398488620323,0.6064467766116941,0.5086715315996385,0.7042220216237497
SC,2020-04-27,871.2048999591669,863.562639665277,878.8471602530569,0.6122148638704931,0.4928750530213453,0.7315546747196409
SC,2020-04-28,905.7599020008165,898.1961134333162,913.3236905683169,0.6346294937637564,0.5168617103811404,0.7523972771463725
SC,2020-04-29,894.2415679869334,886.6481584937462,901.8349774801208,0.6270190895741556,0.508703304544904,0.7453348746034073
SC,2020-04-30,901.5714169048591,893.8517532856977,909.2910805240206,0.6176470588235294,0.5001252197252493,0.7351688979218096
SC,2020-05-01,916.2311147407104,908.6709656504426,923.7912638309782,0.6391526661796932,0.5219574489718112,0.7563478833875753
SC,2020-05-02,881.6761126990607,874.0613535367152,889.2908718614063,0.6195732155997057,0.5006628562099993,0.7384835749894121
SC,2020-05-03,839.7912617394854,832.0733570218771,847.5091664570938,0.5897058823529412,0.46927344369059687,0.7101383210152855
SC,2020-05-04,887.9588403429971,880.3292356013435,895.5884450846509,0.6207906295754027,0.5022589832531708,0.7393222758976346
SC,2020-05-05,905.7599020008166,898.1437051272285,913.3760988744046,0.6295487627365357,0.511914345498997,0.7471831799740745
